Kalkış-Varış;Tarife Fiyatı;Tarife İndirimli;KM;Fiyat/KM
Acıgöl - Akçaabat;2035;1424,5;700;2,91
Acıgöl - Kemer;1580;1106;554;2,85
Acıgöl - Antalya;1290;903;508;2,54
Acıgöl - Manavgat;1360;952;434;3,13
Acıgöl - Serik;1290;903;471;2,74
Acıgöl - Hopa;2260;1582;849;2,66
Acıgöl - Didim;1810;1267;802;2,26
Acıgöl - Beyşehir;1075;752,5;289;3,72
Acıgöl - Devrek;1750;1225;488;3,59
Acıgöl - Ergani;1980;1386;615;3,22
Acıgöl - Eynesil;1980;1386;654;3,03
Acıgöl - Fethiye;1750;1225;704;2,49
Acıgöl - Kayseri;385;269,5;105;3,67
Acıgöl - Keşap;1980;1386;594;3,33
Acıgöl - Lüleburgaz;2430;1701;880;2,76
Acıgöl - Seydişehir;1190;833;302;3,94
Acıgöl - Küçükkuyu;2090;1463;891;2,35
Acıgöl - Malatya;1640;1148;439;3,74
Acıgöl - Mengen (TR);1530;1071;448;3,42
Acıgöl - Marmaris;1810;1267;776;2,33
Acıgöl - Gürün;1640;1148;300;5,47
Acıgöl - Sivas;1130;791;299;3,78
Acıgöl - Susurluk;1810;1267;758;2,39
Acıgöl - Sürmene;2035;1424,5;718;2,83
Acıgöl - Boğazlıyan;1060;742;120;8,83
Acıgöl - Sorgun;1290;903;200;6,45
Acıgöl - Gökçebey;1750;1225;509;3,44
Acıgöl - Zonguldak;1530;1071;543;2,82
Adana - Sultandağı;1360;952;507;2,68
Adana - Patnos;2090;1463;906;2,31
Adana - Ağrı;2200;1540;990;2,22
Adana - Ahlat;1750;1225;799;2,19
Adana - Aksaray;735;514,5;267;2,75
Adana - Ankara;960;672;494;1,94
Adana - Antalya;1360;952;544;2,5
Adana - Araklı;2150;1505;844;2,55
Adana - Didim;1980;1386;959;2,06
Adana - Aydın;1750;1225;864;2,03
Adana - Söke;1980;1386;909;2,18
Adana - Bandırma;1980;1386;975;2,03
Adana - Burhaniye;2090;1463;994;2,1
Adana - Edremit;2090;1463;988;2,12
Adana - Erdek;1980;1386;996;1,99
Adana - Balıkesir;1980;1386;902;2,2
Adana - Beşiri;1245;871,5;643;1,94
Adana - Bismil;1245;871,5;580;2,15
Adana - Tatvan;1865;1305,5;762;2,45
Adana - Bitlis;1750;1225;737;2,37
Adana - Bolu;1750;1225;687;2,55
Adana - Çanakkale;2260;1582;1137;1,99
Adana - Diyarbakır;1190;833;527;2,26
Adana - Doğubeyazıt;1920;1344;1023;1,88
Adana - Dörtyol;565;395,5;105;5,38
Adana - Düzce;1750;1225;734;2,38
Adana - Elazığ;1640;1148;494;3,32
Adana - Erdemli;440;308;117;3,76
Adana - Erzin;565;395,5;117;4,83
Adana - Fethiye;1980;1386;740;2,68
Adana - Finike;1640;1148;660;2,48
Adana - İslahiye;735;514,5;152;4,84
Adana - Gaziantep;530;371;212;2,5
Adana - Gazipaşa;1300;910;367;3,54
Adana - Gülşehir;960;672;305;3,15
Adana - Hacıbektaş;1075;752,5;332;3,24
Adana - Kırıkhan;565;395,5;177;3,19
Adana - Iğdır;1920;1344;1073;1,79
Adana - İmranlı;1580;1106;533;2,96
Adana - İskenderun;565;395,5;133;4,25
Adana - İstanbul Avrupa;1750;1225;949;1,84
Adana - İstanbul Avrupa;1750;1225;950;1,84
Adana - İstanbul Anadolu;1750;1225;951;1,84
Adana - Kadirli;620;434;100;6,2
Adana - Karabük;1750;1225;713;2,45
Adana - Safranbolu;1750;1225;725;2,41
Adana - Karacabey;1980;1386;935;2,12
Adana - Araç;1865;1305,5;738;2,53
Adana - Kastamonu;1865;1305,5;695;2,68
Adana - Keçiborlu;1530;1071;627;2,44
Adana - Kırıkkale;1300;910;485;2,68
Adana - Gebze;1750;1225;889;1,97
Adana - Kocaeli;1750;1225;839;2,09
Adana - Kurtalan;1190;833;683;1,74
Adana - Malatya;1470;1029;392;3,75
Adana - Iğdır Melekli;1920;1344;1073;1,79
Adana - Anamur;1020;714;290;3,52
Adana - Silifke;680;476;165;4,12
Adana - Mucur;1190;833;357;3,33
Adana - Bodrum;1980;1386;968;2,05
Adana - Marmaris;1920;1344;864;2,22
Adana - Milas;2090;1463;925;2,26
Adana - Yatağan;1980;1386;887;2,23
Adana - Nevşehir;960;672;287;3,34
Adana - Niğde;600;420;209;2,87
Adana - Of;2320;1624;865;2,68
Adana - Düziçi;395;276,5;118;3,35
Adana - Osmaniye;395;276,5;87;4,54
Adana - Payas;565;395,5;113;5
Adana - Polatlı;1245;871,5;553;2,25
Adana - Rize;2320;1624;890;2,61
Adana - Sakarya;1750;1225;806;2,17
Adana - Sarayköy;1750;1225;759;2,31
Adana - Siirt;1190;833;713;1,67
Adana - Sürmene;2150;1505;851;2,53
Adana - Şanlıurfa;960;672;357;2,69
Adana - Siverek;1075;752,5;446;2,41
Adana - Torul;1810;1267;739;2,45
Adana - Trabzon;2150;1505;830;2,59
Adana - Yalova;1810;1267;924;1,96
Adana - Zara;1580;1106;499;3,17
Adana - Zonguldak;1810;1267;763;2,37
Adana - Kahta;1190;833;370;3,22
Dinar - Kahta;2320;1624;1037;2,24
Aksaray - Kahta;2090;1463;614;3,4
Ankara - Kahta;2320;1624;776;2,99
Didim - Kahta;2770;1939;1364;2,03
Aydın - Kahta;2540;1778;1269;2
Kahta - Söke;2770;1939;1313;2,11
Beyşehir - Kahta;2320;1624;852;2,72
Bolu - Kahta;2880;2016;961;3
Ceyhan - Kahta;1190;833;326;3,65
Denizli - Kahta;2430;1701;1148;2,12
Diyarbakır - Kahta;725;507,5;171;4,24
Düzce - Kahta;2880;2016;1007;2,86
Eğirdir - Kahta;2320;1624;967;2,4
Ereğli_Konya - Kahta;2090;1463;576;3,63
Ereğli_Konya - Kahta;2090;1463;576;3,63
Isparta - Kahta;2320;1624;1002;2,32
İstanbul Avrupa - Kahta;2880;2016;1223;2,35
İstanbul Avrupa - Kahta;2880;2016;1223;2,35
İstanbul Anadolu - Kahta;2880;2016;1225;2,35
Kahta - Karapınar;2090;1463;626;3,34
Gebze - Kahta;2880;2016;1163;2,48
Kahta - Kocaeli;2880;2016;1113;2,59
Kahta - Konya;2320;1624;765;3,03
Kahta - Tarsus;1190;833;411;2,9
Kahta - Mut;1865;1305,5;606;3,08
Kahta - Nazilli;2540;1778;1222;2,08
Kahta - Niğde;2090;1463;542;3,86
Kahta - Osmaniye;1190;833;279;4,27
Kahta - Sakarya;2880;2016;1079;2,67
Kahta - Sarayköy;2430;1701;1164;2,09
Kahta - Siverek;555;388,5;90;6,17
Kahta - Şarkikaraağaç;2320;1624;885;2,62
Adana - Adıyaman;1190;833;336;3,54
Adıyaman - Dinar;2320;1624;1003;2,31
Adıyaman - Didim;2770;1939;1330;2,08
Adıyaman - Beyşehir;2320;1624;817;2,84
Adıyaman - Ceyhan;1190;833;292;4,08
Adıyaman - Çankırı;2660;1862;769;3,46
Adıyaman - Çarşamba;1860;1302;640;2,91
Adıyaman - Denizli;2430;1701;1114;2,18
Adıyaman - Diyarbakır;725;507,5;204;3,55
Adıyaman - Düzce;2880;2016;973;2,96
Adıyaman - Eğirdir;2320;1624;933;2,49
Adıyaman - Ereğli_Konya;2090;1463;542;3,86
Adıyaman - Ereğli_Konya;2090;1463;542;3,86
Adıyaman - Bulancak;1860;1302;619;3
Adıyaman - Havza;1860;1302;595;3,13
Adıyaman - Isparta;2320;1624;967;2,4
Adıyaman - İstanbul Avrupa;2880;2016;1188;2,42
Adıyaman - İstanbul Avrupa;2880;2016;1189;2,42
Adıyaman - İstanbul Anadolu;2880;2016;1191;2,42
Adıyaman - Kayseri;1810;1267;419;4,32
Adıyaman - Kırıkkale;1865;1305,5;665;2,8
Adıyaman - Kırşehir;1865;1305,5;556;3,35
Adıyaman - Kocaeli;2880;2016;1079;2,67
Adıyaman - Konya;2320;1624;731;3,17
Adıyaman - Tarsus;1190;833;376;3,16
Adıyaman - Mut;1865;1305,5;572;3,26
